run,repetition,sample_percentage,noise_count,join_time_ms
1,1,10,460800,282.0
1,2,10,485934,275.8
1,3,10,452608,259.8
1,4,10,428032,245.2
1,5,10,481280,274.2
1,6,10,428032,244.7
1,7,10,487424,278.4
1,8,10,477184,271.7
1,9,10,436224,249.0
1,10,10,495616,282.4
2,1,20,972800,546.6
2,2,20,909870,513.0
2,3,20,880640,495.9
2,4,20,972800,547.0
2,5,20,901120,507.9
2,6,20,978944,551.0
2,7,20,978944,551.0
2,8,20,946176,532.5
2,9,20,888832,500.9
2,10,20,937984,527.7
3,1,30,1499136,841.6
3,2,30,1378862,773.0
3,3,30,1423360,798.7
3,4,30,1366574,766.8
3,5,30,1403438,788.0
3,6,30,1476608,828.0
3,7,30,1406976,789.6
3,8,30,1400832,789.8
3,9,30,1404928,790.0
3,10,30,1393198,781.2
4,1,40,1903150,1066.9
4,2,40,1858094,1041.9
4,3,40,1888814,1061.7
4,4,40,1947648,1097.5
4,5,40,1970176,1102.8
4,6,40,1806894,1012.6
4,7,40,1789952,1008.7
4,8,40,1900544,1062.1
4,9,40,1863680,1043.0
4,10,40,1847296,1034.9
5,1,50,2441774,1370.7
5,2,50,2355200,1320.5
5,3,50,2316288,1298.2
5,4,50,2359854,1323.0
5,5,50,2306048,1293.3
5,6,50,2386478,1336.3
5,7,50,2363950,1324.6
5,8,50,2387968,1349.2
5,9,50,2320942,1326.5
5,10,50,2259502,1280.7
6,1,60,2884142,1616.2
6,2,60,2908718,1632.5
6,3,60,2824192,1590.4
6,4,60,2751022,1540.6
6,5,60,2800174,1574.8
6,6,60,2839086,1592.5
6,7,60,2796078,1567.3
6,8,60,2871854,1609.7
6,9,60,2775598,1552.9
6,10,60,2822702,1592.0
7,1,70,3254272,1842.4
7,2,70,3357230,1881.1
7,3,70,3264512,1827.6
7,4,70,3289646,1844.9
7,5,70,3246638,1819.6
7,6,70,3351086,1889.4
7,7,70,3241984,1818.7
7,8,70,3244590,1816.5
7,9,70,3278848,1838.3
7,10,70,3203630,1818.2
8,1,80,3721774,2091.7
8,2,80,3760686,2106.3
8,3,80,3713582,2087.7
8,4,80,3796992,2135.0
8,5,80,3770926,2118.4
8,6,80,3789358,2130.2
8,7,80,3729966,2100.9
8,8,80,3783214,2120.7
8,9,80,3785262,2129.7
8,10,80,3770926,2125.2
9,1,90,4241966,2381.9
9,2,90,4209198,2361.0
9,3,90,4263936,2390.4
9,4,90,4182574,2351.6
9,5,90,4190766,2352.9
9,6,90,4225582,2367.2
9,7,90,4182574,2383.8
9,8,90,4213294,2375.1
9,9,90,4252206,2383.2
9,10,90,4175872,2338.1
10,1,100,4692526,2633.0
10,2,100,4692526,2642.3
10,3,100,4692526,2639.7
10,4,100,4692526,2633.2
10,5,100,4692526,2641.9
10,6,100,4692526,2632.1
10,7,100,4692526,2644.7
10,8,100,4692526,2644.1
10,9,100,4692526,2641.4
10,10,100,4692526,2649.3