run,neighborhood_count,layer_name,layer_type,load_ms,feature_count,map_load_ms
1,1,table_osm_run1_surface,surface,34.9,3,3.4
1,1,table_osm_run1_parks,parks,33.6,140,6.7
1,1,table_osm_run1_water,water,15.4,24,2.4
1,1,table_osm_run1_roads,roads,17.7,177,5.4
1,1,table_osm_run1_buildings,buildings,48.3,204,14.9
2,2,table_osm_run2_surface,surface,8.6,7,2.2
2,2,table_osm_run2_parks,parks,53.7,293,9.3
2,2,table_osm_run2_water,water,29.2,41,2.5
2,2,table_osm_run2_roads,roads,47.6,735,14.7
2,2,table_osm_run2_buildings,buildings,259.3,2122,76.9
3,3,table_osm_run3_surface,surface,9.7,13,3.5
3,3,table_osm_run3_parks,parks,63.3,324,11.4
3,3,table_osm_run3_water,water,32.5,45,2.7
3,3,table_osm_run3_roads,roads,59.0,1054,20.1
3,3,table_osm_run3_buildings,buildings,342.5,3138,111.6
4,4,table_osm_run4_surface,surface,9.3,18,2.2
4,4,table_osm_run4_parks,parks,69.0,338,11.0
4,4,table_osm_run4_water,water,35.9,45,2.3
4,4,table_osm_run4_roads,roads,67.2,1146,21.5
4,4,table_osm_run4_buildings,buildings,424.7,4046,126.9
5,5,table_osm_run5_surface,surface,9.4,23,2.5
5,5,table_osm_run5_parks,parks,75.0,385,12.1
5,5,table_osm_run5_water,water,37.2,47,2.5
5,5,table_osm_run5_roads,roads,72.4,1277,23.0
5,5,table_osm_run5_buildings,buildings,518.8,5142,150.9
6,6,table_osm_run6_surface,surface,10.1,36,2.9
6,6,table_osm_run6_parks,parks,89.6,464,13.4
6,6,table_osm_run6_water,water,44.7,48,2.2
6,6,table_osm_run6_roads,roads,92.5,1730,30.3
6,6,table_osm_run6_buildings,buildings,830.1,8457,244.3
7,7,table_osm_run7_surface,surface,10.8,43,2.7
7,7,table_osm_run7_parks,parks,71.6,519,14.5
7,7,table_osm_run7_water,water,29.2,51,2.4
7,7,table_osm_run7_roads,roads,111.9,2207,37.9
7,7,table_osm_run7_buildings,buildings,1024.4,10489,292.0
8,8,table_osm_run8_surface,surface,11.7,57,2.4
8,8,table_osm_run8_parks,parks,89.1,627,15.5
8,8,table_osm_run8_water,water,36.2,54,2.1
8,8,table_osm_run8_roads,roads,127.2,2542,42.1
8,8,table_osm_run8_buildings,buildings,1315.6,13459,357.7
9,9,table_osm_run9_surface,surface,11.0,61,2.3
9,9,table_osm_run9_parks,parks,96.6,682,14.5
9,9,table_osm_run9_water,water,41.2,56,2.3
9,9,table_osm_run9_roads,roads,144.9,2969,44.3
9,9,table_osm_run9_buildings,buildings,1450.2,15032,444.8
10,10,table_osm_run10_surface,surface,12.6,74,2.5
10,10,table_osm_run10_parks,parks,118.7,770,16.8
10,10,table_osm_run10_water,water,54.3,57,2.4
10,10,table_osm_run10_roads,roads,179.0,3689,57.6
10,10,table_osm_run10_buildings,buildings,1846.3,19677,530.2